model,accuracy,f1,recall
Incremental Gaussian NB,0.7141,0.5116,0.4533
Adaptive Gaussian NB,0.716182905982906,0.5161475993879752,0.45945542813947393
Windowed KNN,0.697,0.6133,0.5963
Adaptive Windowed KNN,0.6971603988603988,0.6139629351484115,0.5970008922453534
